train_id	name	item_condition_id	category_name	brand_name	price	shipping	item_description
0	MLB Cincinnati Reds T Shirt Size XL	3	Men/Tops/T-shirts		10.0	1	No description yet
1	Razer BlackWidow Chroma Keyboard	3	Electronics/Computers & Tablets/Components & Parts	Razer	52.0	0	This keyboard is in great condition and works like it came out of the box. All of the ports are tested and work perfectly. The lights are customizable via the Razer Synapse app on your PC.
2	AVA-VIV Blouse	1	Women/Tops & Blouses/Blouse	Target	10.0	1	Adorable top with a hint of lace and a key hole in the back! The pale pink is a 1X, and I also have a 3X available in white!
3	Leather Horse Statues	1	Home/Home Décor/Home Décor Accents		35.0	1	New with tags. Leather horses. Retail for [rm] each. Stand about a foot high. They are being sold as a pair. Any questions please ask. Free shipping. Just got out of storage
4	24K GOLD plated rose	1	Women/Jewelry/Necklaces		44.0	0	Complete with certificate of authenticity
5	Bundled items requested for Ruie	3	Women/Other/Other		59.0	0	Banana republic bottoms, Candies skirt with matching blazer,Amy Byers suit, Loft bottoms and cami top.
6	Acacia pacific tides santorini top	3	Women/Swimwear/Two-Piece	Acacia Swimwear	64.0	0	Size small but straps slightly shortened to fit xs, besides that, perfect condition
7	Girls cheer and tumbling bundle of 7	3	Sports & Outdoors/Apparel/Girls	Soffe	6.0	1	You get three pairs of Sophie cheer shorts size small and medium girls and two sports bra/boy shorts spandex matching sets in small and medium girls. All items total retail for [rm] in store and you can take him today for less than the price of one item at the store!)
8	Girls Nike Pro shorts	3	Sports & Outdoors/Apparel/Girls	Nike	19.0	0	Girls Size small Plus green. Three shorts total.
9	Porcelain clown doll checker pants VTG	3	Vintage & Collectibles/Collectibles/Doll		8.0	0	"I realized his pants are on backwards after the picture. They were very dirty so I hand washed them. He has a stuffed body and painted porcelain head, hands and feet. Back before clowns were too scary. 9"" tall. No chips or cracks but minor paint loss in a few places. Clown Circus Doll Collectible"
10	Smashbox primer	2	Beauty/Makeup/Face	Smashbox	8.0	1	0.25 oz Full size is 1oz for [rm] in Sephora
11	New vs pi k body mists	1	Beauty/Fragrance/Women	Victoria's Secret	34.0	0	(5) new vs pink body mists (2.5 oz each) Fresh & Clean Sun kiss Cool and bright Total flirt Sweet and flirty
12	Black Skater dress	2	Women/Dresses/Above Knee, Mini	rue	16.0	0	Xl, great condition
13	Sharpener and eraser	1	Other/Office supplies/School Supplies	Scholastic	4.0	1	No description yet
14	HOLD for Dogs2016 Minnetonka boots	3	Women/Shoes/Boots	UGG Australia	43.0	0	Authentic. Suede fringe boots. Great condition! Size 7. If you are between the sizes 5.5-7 and love wearing thick socks during the winter they'd be perfect for you as well (I did last winter) :)
15	Sephora tarte birthday gift	1	Beauty/Makeup/Makeup Sets	Tarte	11.0	1	Brand new. Deluxe travel size products. Contains: Amazonian Clay 12 hour Blush in Paaarty - .05oz/1.5g Tarteist Lip Paint in Birthday Suit - .034oz/1ml
16	Glitter Eyeshadow	1	Beauty/Makeup/Eyes	Wet n Wild	6.0	1	2 glitter eyeshadows; one in Brass and one in Bleached.
17	New: Baby K'tan active baby carrier	1	Kids/Gear/Backpacks & Carriers		29.0	1	Brand new in box Size: Medium Color: Coral Retails for [rm] The Baby K’tan ACTIVE is made of a breathable hi-tech performance fabric that wicks away moisture and sweat, blocks over 90% of the sun’s harmful UVA and UVB rays, and provides a unique temperature control. - Ergonomic positioning for healthy infant development. - Evenly distributes weight across back and shoulders. - Double-loop design slips on like a t-shirt.
18	"Too Faced Limited ""Merry Macaroons"""	1	Beauty/Makeup/Makeup Palettes	Too Faced	25.0	1	"This AUTHENTIC pallete by Too Faced is brand new in mint condition still in original box. It's part of the. Christmas 2016 collection. It has 12 pretty eye shadow colors and a small sized""Better Than Sex"" mascara. Never even swatched. Impeccable shape. Price includes 2 day priority shipping with insurance."
19	Cream/ Beige Front Cross Shirt	2	Women/Tops & Blouses/Blouse	Anthropologie	27.0	0	Fancy, dressy or casual! Dress it up or down 100% polyester; washed once, never dried. Size: Small Brand: lush Purchased from Francesca's Tags: Free People, Anthropology, Dry Goods, Francesca's
20	Torrid Nautical Peplum Tube Top	3	Women/Tops & Blouses/Tank, Cami	Torrid	13.0	1	Size 1. Worn once. Excellent condition
21	NWT VS ULTIMATE SPORTS BRA 34ddd	1	Women/Athletic Apparel/Sports Bras	Victoria's Secret	20.0	0	NWT Victoria's Secret ULTIMATE SPORT BRA -MAXIMUM SUPPORT SIZE 34ddd
22	Galaxy S7 Edge (Unlocked) 32GB	3	Electronics/Cell Phones & Accessories/Cell Phones & Smartphones	Samsung	386.0	0	"Reasonable offers welcomed. But if you ask ""lowest"" or lowball I'll block you... - This phone was opened under T-Mobile but has now been unlocked after switching to new phone. - All of the buttons are functioning like new still. - It's in perfect used condition - Check my reviews for honest feedback. - 32GB ; Sorry no charger included"
23	Triple car charger	1	Electronics/Cell Phones & Accessories/Chargers & Cradles		8.0	1	Brand new never used All colors are available Each Only [rm]
24	Black and Red Baseball Tee	2	Women/Tops & Blouses/T-Shirts	FOREVER 21	10.0	0	lanascloset ~~~ description: never worn! ✨ i delete/update my listings and relist them so like my “sold” listings to have easier access to my shop later on ~~~ ✨ i normally ship the following day, but it happens that i ship a few days after purchase ~~~ forever 21 brandy Melville baseball tee
25	Air Jordan carmine 6s	3	Men/Shoes/Athletic	Air Jordan	66.0	0	They are 100 percent authentic. They are beaters but they still have a lot of life in them. No original box.
26	Otterbox Defender iPhone 6 Plus/6s Plus	1	Electronics/Cell Phones & Accessories/Cases, Covers & Skins	Apple	13.0	1	Brand new Otterbox Defender iPhone 6 Plus/6s Plus
27	LuLaRoe OS Black With White Polka Dots	3	Women/Athletic Apparel/Pants, Tights, Leggings	LuLaRoe	24.0	0	Worn one time. Excellent condition
28	Forever21 floral romper strapless	2	Women/Swimwear/One-Piece	FOREVER 21	5.0	1	Beautiful Excellent condition Zips and ties in the back Cream liner top to bottom
